"","Province/State","Country/Region","date","CumConfirmed","CumDeaths","CumRecovered"
"1204","Jharkhand","India",2020-03-08,0,0,0
"1205","Jharkhand","India",2020-03-09,0,0,0
"1206","Jharkhand","India",2020-03-10,0,0,0
"1207","Jharkhand","India",2020-03-11,0,0,0
"1208","Jharkhand","India",2020-03-12,0,0,0
"1209","Jharkhand","India",2020-03-13,0,0,0
"1210","Jharkhand","India",2020-03-14,0,0,0
"1211","Jharkhand","India",2020-03-15,0,0,0
"1212","Jharkhand","India",2020-03-16,0,0,0
"1213","Jharkhand","India",2020-03-17,0,0,0
"1214","Jharkhand","India",2020-03-18,0,0,0
"1215","Jharkhand","India",2020-03-19,0,0,0
"1216","Jharkhand","India",2020-03-20,0,0,0
"1217","Jharkhand","India",2020-03-21,0,0,0
"1218","Jharkhand","India",2020-03-22,0,0,0
"1219","Jharkhand","India",2020-03-23,0,0,0
"1220","Jharkhand","India",2020-03-24,0,0,0
"1221","Jharkhand","India",2020-03-25,0,0,0
"1222","Jharkhand","India",2020-03-26,0,0,0
"1223","Jharkhand","India",2020-03-27,0,0,0
"1224","Jharkhand","India",2020-03-28,0,0,0
"1225","Jharkhand","India",2020-03-29,0,0,0
"1226","Jharkhand","India",2020-03-30,0,0,0
"1227","Jharkhand","India",2020-03-31,0,0,0
"1228","Jharkhand","India",2020-04-01,0,0,0
"1229","Jharkhand","India",2020-04-02,1,0,0
"1230","Jharkhand","India",2020-04-03,2,0,0
"1231","Jharkhand","India",2020-04-04,2,0,0
"1232","Jharkhand","India",2020-04-05,3,0,0
"1233","Jharkhand","India",2020-04-06,4,0,0
"1234","Jharkhand","India",2020-04-07,4,0,0
"1235","Jharkhand","India",2020-04-08,4,0,0
"1236","Jharkhand","India",2020-04-09,13,0,0
"1237","Jharkhand","India",2020-04-10,13,0,1
"1238","Jharkhand","India",2020-04-11,17,0,1
"1239","Jharkhand","India",2020-04-12,17,0,1
"1240","Jharkhand","India",2020-04-13,19,0,2
"1241","Jharkhand","India",2020-04-14,24,0,2
"1242","Jharkhand","India",2020-04-15,27,0,2
"1243","Jharkhand","India",2020-04-16,28,0,2
"1244","Jharkhand","India",2020-04-17,29,0,2
"1245","Jharkhand","India",2020-04-18,33,0,2
"1246","Jharkhand","India",2020-04-19,35,0,2
"1247","Karnataka","India",2020-01-22,0,0,0
"1248","Karnataka","India",2020-01-23,0,0,0
"1249","Karnataka","India",2020-01-24,0,0,0
"1250","Karnataka","India",2020-01-25,0,0,0
"1251","Karnataka","India",2020-01-26,0,0,0
